Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
Honor,49 999 ₽,69 999,1 год,Китай,MagicBook 15,не установлена,не установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 ч 30 мин,1.54 кг

Acer,36 999 ₽,41 999,1 год,Китай,Aspire 3,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг

Thunderobot,109 999 ₽,124 999,1 год,Китай,GAMING,Windows 11 Pro 64,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,2.5 кг

Thunderobot,69 999 ₽,89 999,1 год,Китай,GAMING,не установлена,не установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 7 часов,2.15 кг

HUAWEI,42 999 ₽,44 999,1 год,Китай,Matebook D 14,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel Iris Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.38 кг

