Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
Haier,79 999 ₽,99 999,1 год,Китай,GAMING,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.4 ГГц,Core i5,2.4 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,2.5 кг

ASUS,25 999 ₽,31 999,1 год,Китай,R429MA,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 12 часов,1.3 кг

ASUS,47 999 ₽,57 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг

ASUS,17 999 ₽,24 999,1 год,Китай,nan,Windows 11 Домашняя S-режим,установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,1.25 кг

Lenovo,69 999 ₽,79 999,1 год,Китай,Yoga Slim7 14ARE05,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,nan,,60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминий,до 14 часов,1.4 кг

Lenovo,34 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя S-режим,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 5 ч 30 мин,1.7 кг

HP,18 999 ₽,24 999,1 год,Китай,250 G7,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.5""(39.3 см)","15.6""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 10 часов,1.78 кг

Lenovo,42 999 ₽,49 999,1 год,Китай,IdeaPad 3 15ALC6,не установлена,не установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.65 кг

HP,nan,24 999 ₽,1 год,Китай,250 G8,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 6 ч 30 мин,1.78 кг

HUAWEI,52 999 ₽,54 999,1 год,Китай,Matebook D 15,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 6 часов,1.56 кг

Acer,64 999 ₽,74 999,1 год,Китай,Swift 3,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминий,до 12 часов,1.2 кг

Honor,nan,49 299 ₽,1 год,Китай,MagicBook X14,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,1.38 кг

Digma,nan,15 999 ₽,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 7 часов,1.26 кг

Digma,nan,22 999 ₽,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics 405,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,nan,пластик,до 7 часов,1.54 кг

ASUS,54 999 ₽,59 999,1 год,Китай,Vivobook S14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,NVIDIA,GeForce MX350 2ГБ,nan,"14""(37 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,nan,1.4 кг

ASUS,54 999 ₽,59 999,1 год,Китай,Vivobook S14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,NVIDIA,GeForce MX350 2ГБ,nan,"14""(37 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,nan,1.4 кг

HUAWEI,99 999 ₽,119 999,1 год,Китай,MateBook 14S,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14,2""/2520x1680 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,металл,до 7 часов,1.43 кг

HP,64 999 ₽,69 999,1 год,Китай,Victus Gaming Laptop PC,Windows 11 Домашняя,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 8 часов,2.29 кг

ASUS,nan,39 999 ₽,1 год,Китай,Zenbook 15,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг

HUAWEI,79 999 ₽,99 999,1 год,Китай,MateBook E,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"12.6""(32 см)","12.6""/2560x1600 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,nan,металл,до 7 часов,0.709 кг

ASUS,34 999 ₽,39 999,1 год,Китай,R522MA,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.57 кг

ASUS,34 999 ₽,39 999,1 год,Китай,R522MA,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.57 кг

Acer,nan,45 990 ₽,1 год,Китай,Aspire 5,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 620,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,6 ГБ,DDR4,1 шт,пластик,до 8 часов,1.8 кг

Lenovo,nan,45 999 ₽,1 год,Китай,IdeaPad Flex 5 14ITL05,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(37 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.5 кг

ASUS,49 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.6 кг

Lenovo,49 999 ₽,54 999,1 год,Китай,IdeaPad 3 15ITL05,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг

Acer,24 999 ₽,29 999,1 год,Китай,Aspire 3,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 6 часов,1.9 кг

MSI,49 999 ₽,56 999,1 год,Китай,Modern 15 A10M,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 620,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 9 часов,1.6 кг

HUAWEI,119 999 ₽,131 999,1 год,Китай,Matebook X Pro,Windows 11,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14.2""/3120x2080 пикс.",90 Гц,1 ТБ,16 ГБ,LPDDR5,nan,магниевый сплав,до 8 часов,1.26 кг

Digma,15 999 ₽,17 999,1 год,Китай,EVE,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 6 часов,1.3 кг

Irbis,15 999 ₽,18 999,1 год,Китай,NB,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14""(35.5 см)","14""/1366x768 пикс.",60 Гц,nan,4 ГБ,LPDDR4,1 шт,пластик,до 5 часов,1.273 кг

Acer,43 999 ₽,49 999,1 год,Китай,Spin 1,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.5 кг

Lenovo,71 999 ₽,79 999,1 год,Китай,IdeaPad Gaming 3 15IHU6,не установлена,не установлена,4,11300H,Intel Core i5 11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 8 часов,2.25 кг

Acer,54 999 ₽,62 999,1 год,Китай,Swift 3,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,LPDDR4X,1 шт,металл,до 9 часов,1.2 кг

Lenovo,74 999 ₽,84 999,1 год,Китай,IdeaPad Gaming 3 15ACH6,не установлена,nan,6,Ryzen 5 5600H,AMD Ryzen 5 Ryzen 5 5600H 3.2 ГГц,Ryzen 5,3.2 ГГц,NVIDIA,GeForce RTX 3050,4 ГБ,nan,,60 Гц,512 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг

HUAWEI,nan,74 899 ₽,1 год,Китай,Matebook D 15,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.56 кг

HP,45 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.69 кг

ASUS,84 999 ₽,99 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,6,nan,,nan,nan,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,1.65 кг

Acer,37 999 ₽,44 999,1 год,Китай,Aspire 3,не установлена,не установлена,4,nan,,nan,nan,AMD,Radeon Vega 8,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 7 часов,1.9 кг

Apple,nan,134 999 ₽,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг

HP,44 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,AMD,Radeon,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 ч 30 мин,1.69 кг

ASUS,41 999 ₽,48 999,1 год,Китай,VivoBook 15,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг

ASUS,41 999 ₽,48 999,1 год,Китай,VivoBook 15,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг

Irbis,17 999 ₽,19 999,1 год,Китай,NB,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14.1""(35.8 см)","14.1""/1920x1080 пикс.",nan,nan,4 ГБ,LPDDR3,1 шт,пластик,до 3 часов,1.28 кг

Irbis,17 999 ₽,19 999,1 год,Китай,NB,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14.1""(35.8 см)","14.1""/1920x1080 пикс.",nan,nan,4 ГБ,LPDDR3,1 шт,пластик,до 3 часов,1.28 кг

HUAWEI,99 999 ₽,109 999,1 год,Китай,Matebook X Pro,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.9""(35.3 см)","13.9""/3000х2000 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,nan,металл,до 7 часов,1.33 кг

Acer,nan,22 999 ₽,1 год,Китай,Aspire 3,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 9 часов,1.7 кг

ASUS,37 999 ₽,44 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.5 кг

ASUS,37 999 ₽,44 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,NVIDIA,GeForce MX130 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг

ASUS,24 999 ₽,29 999,1 год,Тайвань,Laptop,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.57 кг

Apple,nan,229 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 21 часа,2.15 кг

Acer,25 999 ₽,28 999,1 год,Китай,SF114-34,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 615,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик/ металл,до 15 часов,1.3 кг

Honor,nan,69 999 ₽,1 год,Китай,MagicBook 15,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 ч 30 мин,1.54 кг

Lenovo,39 999 ₽,59 999,1 год,Китай,V15 G2 ALC,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.7 кг

Acer,59 999 ₽,64 999,1 год,Китай,Swift 3,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Vega 5,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,1 ТБ,8 ГБ,LPDDR4X,1 шт,металл,до 13 часов,1.2 кг

ASUS,49 999 ₽,57 999,1 год,Китай,R565,не установлена,не установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг

HUAWEI,99 999 ₽,114 999,1 год,Китай,Matebook X Pro,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.9""(35.3 см)","13.9""/3000х2000 пикс.",nan,1 ТБ,16 ГБ,LPDDR4X,nan,металл,до 7 часов,1.33 кг

Lenovo,nan,89 999 ₽,1 год,Китай,IdeaPad Gaming 3 15ACH6,не установлена,nan,6,Ryzen 5 5600H,AMD Ryzen 5 Ryzen 5 5600H 3.2 ГГц,Ryzen 5,3.2 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,nan,,120 Гц,512 ГБ,16 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг

Haier,nan,49 999 ₽,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,1.5 кг

Irbis,nan,17 899 ₽,1 год,Китай,nan,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14.1""(35.8 см)","14.1""/1920x1080 пикс.",nan,nan,4 ГБ,LPDDR4,1 шт,пластик,до 5 часов,1.28 кг

Irbis,nan,19 999 ₽,1 год,Китай,NB,Windows 10 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 5 часов,1.57 кг

Apple,nan,129 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг

HP,43 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,AMD,Radeon,nan,"17.3""(43.9 см)","17.3""/1600x900 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 ч 45 мин,2.07 кг

HP,48 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.69 кг

ASUS,35 999 ₽,41 999,1 год,Китай,Laptop 14,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 6 часов,1.55 кг

HUAWEI,nan,74 999 ₽,1 год,Китай,MateBook 14,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/2160x1440 пикс.",nan,512 ГБ,16 ГБ,DDR4,nan,металл,до 7 часов,1.49 кг

HP,34 999 ₽,39 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,AMD,Radeon,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.69 кг

Acer,139 999 ₽,149 999,1 год,Китай,Nitro,Windows 11 Домашняя 64,установлена,8,11800H,Intel Core i7 11800H 2.3 ГГц,Core i7,2.3 ГГц,NVIDIA,GeForce RTX 3070 8GB,8 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 8 часов,2.7 кг

Haier,79 999 ₽,99 999,1 год,Китай,GAMING,Windows 11 Домашняя,установлена,6,11400H,Intel Core i5 11400H 2.4 ГГц,Core i5,2.4 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,2.5 кг

HP,69 999 ₽,89 999,1 год,Китай,Pavilion Aero,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"13.3""(33.8 см)","13.3""/2560x1600 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,магниевый сплав,до 10 часов,1 кг

Acer,nan,24 999 ₽,1 год,Китай,Aspire 1,Windows 10,установлена,2,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг

MSI,134 999 ₽,149 999,1 год,Китай,CROSSHAIR 15,Windows 11 Домашняя 64,установлена,14,12700H,Intel Core i7 12700H 3.5 ГГц,Core i7,3.5 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4 SO-DIMM,1 шт,металл/ пластик,до 6 часов,2.3 кг

HP,34 999 ₽,39 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.65 кг

Apple,nan,137 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг

Apple,234 999 ₽,249 999,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,1 ТБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг

Honor,59 999 ₽,64 999,1 год,Китай,MagicBook 14,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 часов,1.38 кг

HP,74 999 ₽,79 999,1 год,Китай,HP Pavilion,Windows 11 Домашняя 64,установлена,8,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,1 ТБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,1.75 кг

Lenovo,nan,19 999 ₽,1 год,Китай,IdeaPad 1 14IGL05,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 8 часов,1.4 кг

ASUS,28 800 ₽,31 999,1 год,Китай,R565MA,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг

Acer,87 150 ₽,124 499,1 год,Китай,Acer Spin 7,Windows 10 Домашняя,установлена,8,nan,,nan,nan,Qualcomm,Adreno 685,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,LPDDR4X,nan,металл,до 29 часов,1.4 кг

Lenovo,59 999 ₽,69 999,1 год,Китай,ThinkBook 15 G2,Windows 10 Pro 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 6 часов,1.7 кг

ASUS,129 999 ₽,149 999,1 год,Китай,Zenbook Pro Duo,Windows 11 Домашняя,установлена,4,nan,,nan,nan,NVIDIA,GeForce MX450 2ГБ,2 ГБ,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминиевый сплав,до 9 часов,1.62 кг

Digma,9 999 ₽,13 999,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"10.1""(25.7 см)","10.1""/1366x768 пикс.",60 Гц,64 ГБ,2 ГБ,DDR3,1 шт,пластик,до 5 часов,0.935 кг

ASUS,74 999 ₽,84 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,1.8 кг

ASUS,nan,24 899 ₽,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.3 кг

Acer,29 999 ₽,37 999,1 год,Китай,Spin 1,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 7 часов,1.5 кг

Acer,79 999 ₽,89 999,1 год,Китай,Aspire 7,Windows 11 Домашняя 64,установлена,6,5500U,AMD Ryzen 5 5500U 2.1 ГГц,Ryzen 5,2.1 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 10 часов,2.15 кг

HP,47 999 ₽,54 999,1 год,Китай,Laptop 15s,не установлена,не установлена,8,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 9 ч 30 минут,1.69 кг

ASUS,44 999 ₽,49 999,1 год,Тайвань,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг

