Brand,Series,PriceNow,PriceOriginal,Guarantee_year,OS,CoresNumber,Processor,ProcessorType,ProcessorModel,ProcessorFrequency_GHz,GpuManufacturer,GpuController,ScreenSize_inch,ScreenFrequency_GHz,SSDSize_GGb,RAM_GGb,RAM_type,HDMI,Material,Battery_hour,Weight_kg
Honor,MagicBook X15,54999.0,59999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel UHD Graphics,15.6,60,512.0,8.0,DDR4,1.0,алюминиевый сплав,7,1.56
Apple,,109999.0,139999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,18,1.24
HUAWEI,Matebook 14S,94999.0,106999,1,Windows 11 Домашняя,14.0,,,,,Intel,Intel Iris Xe Graphics,14,,1000.0,16.0,LPDDR4X,1.0,металл,9,1.43
Irbis,,19999.0,25999,1,Windows 10,4.0,,,,,Intel,Intel HD Graphics,15.6,,,4.0,SDRAM,1.0,пластик,4.5,1.57
HUAWEI,Matebook 14,70999.0,77999,1,Windows 11,4.0,,,,,Intel,Intel Iris Xe Graphics,14,60,512.0,16.0,DDR4,1.0,металл,7,1.49
Honor,MagicBook 15,71999.0,79999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,15.6,60,512.0,16.0,DDR4,1.0,алюминиевый сплав,11.5,1.54
Apple,,109999.0,139999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,,1.24
Acer,Spin 1,33999.0,37999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,UHD Graphics,14,,128.0,4.0,DDR4,1.0,пластик,9,1.5
GIGABYTE,KD-52EE123SD,89999.0,109999,1,не установлена,6.0,Intel,Core i5,11400H,2.7,NVIDIA,GeForce RTX 3060 6GB,15.6,144,512.0,16.0,DDR4,1.0,пластик,5,2.18
ASUS,,59999.0,74999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel UHD Graphics,14,,512.0,16.0,DDR4,1.0,пластик,5,1.6
Irbis,,15999.0,15999,1,Windows 10,2.0,,,,,Intel,Intel UHD Graphics 600,11.6,,,4.0,LPDDR3,1.0,пластик,5,1
Thunderobot,GAMING,129999.0,149999,1,Windows 11 Pro 64,8.0,AMD,Ryzen 7,5800H,3.2,NVIDIA,GeForce RTX 3070 8GB,15.6,144,512.0,16.0,DDR4,1.0,пластик/ металл,5,2.2
Honor,MagicBook X 15,62999.0,69999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel UHD Graphics,15.6,60,512.0,16.0,DDR4,1.0,алюминиевый сплав,7,
Haier,GAMING,69999.0,74999,1,Windows 11 Домашняя,6.0,Intel,Core i5,11400H,2.2,NVIDIA,GeForce GTX 1650 4GB Max-Q,15.6,,512.0,8.0,DDR4,1.0,пластик,5,1.85
Acer,Swift 1,31999.0,39999,1,Windows 10 Домашняя,4.0,,,,,Intel,Intel UHD Graphics,14,,256.0,4.0,LPDDR4X,1.0,пластик,15,1.3
Irbis,,15999.0,19999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel HD Graphics 500,14,,,4.0,LPDDR4,1.0,пластик,4,1.273
Lenovo,IdeaPad 3 15IGL05,21999.0,24999,1,не установлена,2.0,,,,,Intel,UHD Graphics 600,15.6,,,4.0,DDR4,1.0,пластик,14,1.7
Digma,EVE,9999.0,13999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel HD Graphics 500,11.6,60,,4.0,DDR3,1.0,пластик,7,1.07
Lenovo,,59999.0,69999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,17.3,,256.0,8.0,DDR4,1.0,ABS-пластик,5,2.1
Honor,MagicBook X15,47999.0,52999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,15.6,60,256.0,8.0,DDR4,1.0,алюминиевый сплав,7,1.56
Acer,Aspire 3,29999.0,34999,1,не установлена,4.0,,,,,Intel,UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,6,1.9
Lenovo,IdeaPad,29999.0,36999,1,Windows 10,2.0,,,,,AMD,Radeon Graphics,14,60,256.0,4.0,DDR4,1.0,пластик,4.5,1.6
Digma,EVE,17999.0,17999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel UHD Graphics 600,11.6,60,,4.0,DDR3,1.0,пластик,8,1.06
Apple,,109999.0,124999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,,1.24
Apple,,134999.0,159999,1,macOS,8.0,,,,,,,,,512.0,8.0,,,алюминий,18,1.24
Apple,MacBook Pro,144999.0,159999,1,macOS,8.0,,,,,Apple,,,120,512.0,16.0,,,алюминий,17,1.64
HUAWEI,Matebook 16S,96999.0,105999,1,Windows 11 Домашняя,14.0,,,,,Intel,Intel Iris Xe Graphics,16,,1000.0,16.0,LPDDR5,1.0,металл,7,1.99
Xiaomi,RedmiBook 15,49999.0,49999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,60,512.0,8.0,DDR4,1.0,пластик,9,1.8
HUAWEI,Matebook X Pro,107999.0,117999,1,Windows 11,12.0,,,,,Intel,Intel Iris Xe Graphics,14.2,90,1000.0,16.0,LPDDR5,,алюминиевый сплав,8,1.38
Thunderobot,GAMING,69999.0,86999,1,не установлена,6.0,Intel,Core i5,11400H,2.7,NVIDIA,GeForce RTX 3050 4GB,15.6,60,256.0,16.0,DDR4,1.0,пластик/ металл,5,2.15
Acer,Aspire 3 A315,42999.0,47999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,15.6,,512.0,8.0,DDR4,1.0,пластик,8,1.9
Lenovo,IdeaPad 3,44999.0,49999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,8.0,DDR4 SO-DIMM,1.0,пластик,7.5,1.85
ASUS,ROG STRIX G17,129999.0,149999,1,Windows 11 Домашняя,8.0,AMD,Ryzen 7,4800H,2.9,NVIDIA,GeForce RTX 3060 6GB,17.3,144,512.0,16.0,DDR4,1.0,пластик,6,2.7
ASUS,,36999.0,49999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,14,,512.0,8.0,DDR4,1.0,пластик,7,1.6
Lenovo,Legion 5 15ITH6H,104999.0,104999,1,не установлена,8.0,Intel,Core i7,11800H,2.3,NVIDIA,GeForce RTX 3060 6GB,15.6,165,1000.0,16.0,DDR4,1.0,пластик,8,2.4
Lenovo,IdeaPad 1 14IGL05,25999.0,29999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics 600,14,,128.0,4.0,DDR4,1.0,пластик,5,1.4
Thunderobot,GAMING,93999.0,104999,1,Windows 11 Pro 64,8.0,Intel,Core i5,12450H,2.0,NVIDIA,GeForce RTX 3050 Ti 4GB,17.3,144,512.0,16.0,DDR4,1.0,ABS-пластик,5,2.5
Haier,URBAN,21999.0,21999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics 600,15.6,60,,4.0,DDR4,1.0,пластик,5,1.5
Apple,MacBook Pro,119999.0,139999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,20,1.4
ASUS,,29999.0,34999,1,не установлена,2.0,,,,,NVIDIA,GeForce MX130 2ГБ,15.6,,256.0,4.0,DDR4,1.0,пластик,5,1.8
Haier,URBAN,27999.0,27999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics 600,15.6,60,128.0,4.0,DDR4,1.0,пластик/ металл,5,1.65
Lenovo,IdeaPad 3,39999.0,47999,1,Windows 10 Домашняя,4.0,,,,,AMD,Radeon Vega 8,14,60,256.0,8.0,DDR4,1.0,пластик,5,1.6
Apple,MacBook Pro,189999.0,189999,1,macOS,10.0,,,,,Apple,,,120,512.0,16.0,,,алюминий,21,2.15
Acer,,32999.0,39999,1,не установлена,2.0,,,,,Intel,UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,6,1.9
Haier,,34999.0,44999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel HD Graphics,15.6,60,256.0,8.0,DDR4,1.0,пластик,5,1.65
