"['94 499 ₽', '']",104 999,12 мес.,nan,MSI GF76 Katana 12UD-238RU,Windows 11 Home Single Language,nan,14,Intel Core i7-12700H,nan,nan,nan,nan,Intel UHD Graphics,4 ГБ,"17.3""",nan,144 Гц,512 ГБ,16 ГБ,DDR4,HDMI,пластик,nan,2.6 кг
nan,54 999 ₽,12 мес.,nan,Honor MagicBook X 15 BBR-WAH9F,Windows 10 Home Single Language,nan,4,Intel Core i5-10210U,nan,nan,1.6 ГГц,nan,Intel UHD Graphics,nan,"15.6""",nan,60 Гц,512 ГБ,8 ГБ,DDR4,HDMI,алюминий,nan,1.56 кг
"['156 399 ₽', '']",169 999,12 мес.,nan,Apple MacBook Pro,macOS,nan,8,Apple M1 Pro,nan,nan,nan,nan,Apple M1 Pro 14-core,nan,"14.2""",nan,120 Гц,512 ГБ,16 ГБ,LPDDR5,"HDMI, USB Type-C x3",алюминий,nan,1.61 кг
nan,79 999 ₽,12 мес.,nan,Honor MagicBook 16 HYM-W56,Windows 11 Home Single Language,nan,6,AMD Ryzen 5 5600H,nan,nan,3.3 ГГц,nan,AMD Radeon Graphics,nan,"16.1""",nan,60 Гц,512 ГБ,16 ГБ,DDR4,HDMI,алюминий,nan,1.84 кг
"['104 999 ₽', '']",114 999,12 мес.,nan,HUAWEI MateBook 16s CREF-X,Windows 11 Home Single Language,nan,14,Intel Core i9-12900H,nan,nan,nan,nan,Intel Iris Xe Graphics,nan,"16""",nan,60 Гц,1000 ГБ,16 ГБ,LPDDR5,"HDMI, USB Type-C x2",алюминий,nan,1.99 кг
nan,41 999 ₽,12 мес.,nan,MSI Modern 14 B11MOU-1224RU,Windows 11 Home Single Language,nan,2,Intel Core i3-1115G4,nan,nan,3 ГГц,nan,Intel UHD Graphics,nan,"14""",nan,60 Гц,256 ГБ,8 ГБ,DDR4,"HDMI, USB Type-C",алюминий,nan,1.3 кг
[''],109 999,12 мес.,nan,Maibenben X568,Linux,nan,8,Intel Core i7-11800H,nan,nan,2.3 ГГц,nan,Intel UHD Graphics,6 ГБ,"15.6""",nan,165 Гц,512 ГБ,16 ГБ,DDR4,"HDMI, USB Type-C",магниевый сплав,nan,1.93 кг
nan,42 999 ₽,12 мес.,nan,HUAWEI MateBook D 15 BOD-WDI9,Windows 11 Home Single Language,nan,2,Intel Core i3-1115G4,nan,nan,3 ГГц,nan,Intel UHD Graphics,nan,"15.6""",nan,60 Гц,256 ГБ,8 ГБ,DDR4,HDMI,алюминий,nan,1.53 кг
nan,139 999 ₽,24 мес.,nan,AORUS 5 SE4,Windows 11 Home Single Language,nan,14,Intel Core i7-12700H,nan,nan,3.5 ГГц,nan,Intel Iris Xe Graphics,8 ГБ,"15.6""",nan,240 Гц,1000 ГБ,16 ГБ,DDR4,"HDMI, mini DisplayPort, USB Type-C",пластик,nan,2.3 кг
"['156 399 ₽', '']",169 999,12 мес.,nan,Apple MacBook Pro,macOS,nan,8,Apple M1 Pro,nan,nan,nan,nan,Apple M1 Pro 14-core,nan,"14.2""",nan,120 Гц,512 ГБ,16 ГБ,LPDDR5,"HDMI, USB Type-C x3",алюминий,nan,1.61 кг
"['178 499 ₽', '']",209 999,24 мес.,nan,MSI GE76 Raider 12UGS-415RU,Windows 11 Home Single Language,nan,14,Intel Core i7-12700H,nan,nan,nan,nan,Intel UHD Graphics,8 ГБ,"17.3""",nan,360 Гц,2000 ГБ,32 ГБ,DDR4,"HDMI, mini DisplayPort, USB Type-C",алюминий,nan,2.9 кг
"['56 099 ₽', '']",65 999,12 мес.,nan,MSI Modern 15 B12M-208RU,Windows 11 Home Single Language,nan,10,Intel Core i7-1255U,nan,nan,nan,nan,Intel Iris Xe Graphics,nan,"15.6""",nan,60 Гц,512 ГБ,16 ГБ,DDR4,HDMI,пластик,nan,1.7 кг
nan,54 999 ₽,12 мес.,nan,Honor MagicBook X 14 NBR-WAH9,Windows 10 Home Single Language,nan,4,Intel Core i5-10210U,nan,nan,1.6 ГГц,nan,Intel UHD Graphics,nan,"14""",nan,60 Гц,512 ГБ,8 ГБ,DDR4,HDMI,алюминий,nan,1.38 кг
"['124 699 ₽', '']",135 499,12 мес.,nan,Apple MacBook Pro,macOS,nan,8,Apple M2,nan,nan,nan,nan,Apple M2 10-core,nan,"13.3""",nan,60 Гц,512 ГБ,8 ГБ,DDR4,USB Type-C x2,алюминий,nan,1.4 кг
"['44 999 ₽', '']",52 999,12 мес.,nan,MSI Modern 15 B5M-002RU,Windows 11 Home Single Language,nan,6,AMD Ryzen 5 5625U,nan,nan,2.3 ГГц,nan,AMD Radeon Graphics,nan,"15.6""",nan,60 Гц,256 ГБ,8 ГБ,DDR4,HDMI,пластик,nan,1.75 кг
nan,28 999 ₽,12 мес.,nan,Echips Envy,Windows 10 Pro,nan,4,Intel Celeron J4125,nan,nan,2 ГГц,nan,Intel UHD Graphics 600,nan,"15.6""",nan,60 Гц,240 ГБ,8 ГБ,LPDDR4,mini HDMI,пластик,nan,2 кг
nan,28 999 ₽,12 мес.,nan,Echips Envy,Windows 10 Pro,nan,4,Intel Celeron J4125,nan,nan,2 ГГц,nan,Intel UHD Graphics 600,nan,"15.6""",nan,60 Гц,240 ГБ,8 ГБ,LPDDR4,mini HDMI,пластик,nan,2 кг
"['254 999 ₽', '']",299 999,24 мес.,nan,MSI GE77 HX Raider 12UHS-085RU,Windows 11 Home Single Language,nan,16,Intel Core i9-12900HX,nan,nan,nan,nan,Intel UHD Graphics,16 ГБ,"17.3""",nan,240 Гц,2000 ГБ,32 ГБ,DDR5,"HDMI, USB Type-C x2",пластик,nan,2.9 кг
"['109 799 ₽', '']",121 999,24 мес.,nan,MSI Stealth 15M B12UE-011RU,Windows 11 Home Single Language,nan,14,Intel Core i7-1280P,nan,nan,1.8 ГГц,nan,Intel Iris Xe Graphics,6 ГБ,"15.6""",nan,144 Гц,1000 ГБ,16 ГБ,DDR4,"HDMI, USB Type-C",алюминий,nan,1.8 кг
"['94 499 ₽', '']",104 999,12 мес.,nan,MSI GF76 Katana 12UD-238RU,Windows 11 Home Single Language,nan,14,Intel Core i7-12700H,nan,nan,nan,nan,Intel UHD Graphics,4 ГБ,"17.3""",nan,144 Гц,512 ГБ,16 ГБ,DDR4,HDMI,пластик,nan,2.6 кг
nan,54 999 ₽,12 мес.,nan,Honor MagicBook X 15 BBR-WAH9F,Windows 10 Home Single Language,nan,4,Intel Core i5-10210U,nan,nan,1.6 ГГц,nan,Intel UHD Graphics,nan,"15.6""",nan,60 Гц,512 ГБ,8 ГБ,DDR4,HDMI,алюминий,nan,1.56 кг
"['156 399 ₽', '']",169 999,12 мес.,nan,Apple MacBook Pro,macOS,nan,8,Apple M1 Pro,nan,nan,nan,nan,Apple M1 Pro 14-core,nan,"14.2""",nan,120 Гц,512 ГБ,16 ГБ,LPDDR5,"HDMI, USB Type-C x3",алюминий,nan,1.61 кг
