Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SsdSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
Lenovo;Laptop 14;nan;38 999 ?;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;14;60;256;8;DDR4;1;пластик;nan;1.46
ASUS;Lenovo V15 ;nan;57 999 ?;1;не установлена;8;nan;nan;AMD Ryzen 7 5700U;1.8;nan;AMD Radeon Vega 8;15.6;60;512;8;DDR4;1;пластик;nan;1.7
ASUS;VivoBook Pro 14 ;65999;74 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;3.1;nan;Intel Iris Xe Graphics;14;90;512;8;DDR4;1;пластик;nan;1.4
Lenovo;Laptop 15 ;nan;32 999 ?;1;не установлена;2;nan;nan;Intel Pentium Gold 7505;2;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
Lenovo;IdeaPad 3;nan;37 999 ?;1;не установлена;2;nan;nan;Intel Core i3-10110U;2.1;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
Lenovo;IdeaPad 3;nan;37 999 ?;1;не установлена;2;nan;nan;Intel Core i3-10110U;2.1;nan;Intel UHD Graphics;15.6;60;нет;4;DDR4;1;пластик;nan;1.7
Irbis;IdeaPad 3;nan;42 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Core i3-1115G4;3;nan;Intel UHD Graphics;15.6;60;нет;8;DDR4;1;пластик;nan;2.2
Apple;Irbis ;nan;22 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Pentium J3710;1.6;nan;Intel HD Graphics;15.6;60;нет;4;LPDDR3;1;пластик;nan;1.56
ASUS;MacBook Air;135199;146 999;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 10-core;13.6;60;512;8;LPDDR5;1;алюминий;nan;1.24
HP;Laptop 15 ;nan;32 999 ?;1;не установлена;2;nan;nan;Intel Celeron N4500;1.1;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
Lenovo;Laptop 15s;nan;39 999 ?;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.69
HP;IdeaPad 3;nan;42 999 ?;1;Windows 11 Домашняя S-режим;2;nan;nan;Intel Core i3-1115G4;3;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
Lenovo;HP 255 G8;nan;37 999 ?;1;Windows 10 Pro;2;nan;nan;AMD Athlon Silver 3050U;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.74
GIGABYTE;IdeaPad 3;25199;27 999;1;не установлена;2;nan;nan;Intel Celeron N4020;1.1;nan;Intel UHD Graphics 600;15.6;60;256;4;DDR4;1;пластик;nan;1.7
ASUS;GIGABYTE G5 ;nan;99 999 ?;2;Windows 11 Домашняя;6;nan;nan;Core i5;2.5;nan;Intel UHD Graphics;15.6;144;512;16;DDR4;1;пластик;nan;2.3
Apple;VivoBook Pro 14 ;67999;79 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;3.1;nan;Intel Iris Xe Graphics;14;90;512;16;DDR4;1;пластик;nan;1.4
MSI;MacBook Air;102999;111 999;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 8-core;13.6;60;256;8;DDR4;1;алюминий;nan;1.24
Apple;Modern 15 ;38199;44 999;1;Windows 11 Домашняя;6;nan;nan;Core i3;nan;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
HP;MacBook Pro;202399;219 999;1;macOS;10;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 16-core;14.2;120;1024;16;LPDDR5;1;алюминий;nan;1.61
MSI;HP 255 G8;nan;29 999 ?;1;Windows 10 Pro;2;nan;nan;AMD 3020e;1.2;nan;AMD Radeon Graphics;15.6;60;128;4;DDR4;1;пластик;nan;1.74
Lenovo;Modern 15 ;41599;48 999;1;не установлена;10;nan;nan;Intel Core i5-1235U;nan;nan;Intel Iris Xe Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
Realme;IdeaPad 3;nan;52 999 ?;1;не установлена;8;nan;nan;AMD Ryzen 7 5700U;1.8;nan;AMD Radeon Graphics;15.6;60;нет;8;DDR4;1;пластик;nan;1.65
Acer;Realme Book QHD;54999;59 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;2.4;nan;Intel Iris Xe Graphics;14;60;512;8;LPDDR4x;1;алюминий;nan;1.38
Acer;Extensa 15;26999;29 999;1;не установлена;2;nan;nan;Intel Celeron N4020;1.1;nan;Intel UHD Graphics 600;15.6;60;256;4;DDR4;1;пластик;nan;1.94
HP;Extensa 15;nan;32 999 ?;1;не установлена;2;nan;nan;AMD Athlon Silver 3050U;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.9
MSI;Laptop 15s;nan;32 999 ?;1;не установлена;2;nan;nan;AMD Athlon Silver 3050U;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.69
Acer;Modern 14 ;35699;41 999;1;Windows 11 Домашняя;6;nan;nan;Core i3;nan;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;пластик;nan;1.4
Apple;Aspire 1 ;29699;32 999;1;Windows 11 Домашняя;2;nan;nan;Athlon;2.3;nan;AMD Radeon Graphics;15.6;60;нет;4;DDR4;1;пластик;nan;1.65
ASUS;MacBook Air;102999;111 999;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 8-core;13.6;60;256;8;LPDDR5;1;алюминий;nan;1.24
HUAWEI;VivoBook PRO 15 ;nan;69 999 ?;1;не установлена;4;nan;nan;Intel Core i5-11300H;3.1;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.65
MSI;MateBook 14S ;94999;103 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;14.2;90;1000;16;LPDDR4x;1;алюминий;nan;1.43
