PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight

54 999 ₽,69 999,1 год,Китай,GAMING,не установлена,не установлена,6,11260H,Intel Core i5 11260H 2.6 ГГц,Core i5,2.6 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.15 кг
80 999 ₽,99 999,1 год,Китай,MacBook Air,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.29 кг
58 999 ₽,62 999,1 год,Китай,Matebook D 15,Windows 11 Домашняя,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.63 кг
39 999 ₽,59 999,1 год,Китай,V15 G2 ITL,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг
46 999 ₽,56 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,nan,1.38 кг
42 999 ₽,44 999,1 год,Китай,Matebook D 15,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.63 кг
52 999 ₽,54 999,1 год,Китай,Matebook D 15,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 6 часов,1.56 кг
73 999 ₽,86 999,1 год,Китай,Matebook D 16,Windows 11 Домашняя 64,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/1920x1200 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.71 кг
69 999 ₽,76 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/1920x1200 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,nan,1.71 кг
101 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг
80 999 ₽,99 999,1 год,Китай,MacBook Air,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.29 кг
104 999 ₽,114 999,1 год,Китай,Matebook 16S,Windows 11 Домашняя,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR5,1 шт,металл,до 7 часов,1.99 кг
